Filter,Selected Values,,,
Premium Storage Managed Disks,West US 2,0,50000,0%
StandardSSDStorageDisks,West US 2,0,50000,0%
StandardSSDZRSStorageDisks,West US 2,0,50000,0%
PremiumZRSStorageDisks,West US 2,0,50000,0%
UltraSSDStorageDisks,West US 2,0,1000,0%
PremiumV2StorageDisks,West US 2,0,1000,0%
StandardStorageSnapshots,West US 2,0,75000,0%
StandardSSDStorageSnapshots,West US 2,0,75000,0%
PremiumStorageSnapshots,West US 2,0,75000,0%
ZrsStorageSnapshots,West US 2,0,75000,0%
UltraSSDTotalSizeInGB,West US 2,0,102400,0%
PremiumV2TotalDiskSizeInGB,West US 2,0,102400,0%
DiskEncryptionSets,West US 2,0,5000,0%
DiskAccesses,West US 2,0,1000,0%
BackgroundCopyInProgressUltraSSDDisks,West US 2,0,50,0%
BackgroundCopyInProgressPremiumV2Disks,West US 2,0,50,0%
PremiumV2StorageSnapshots,West US 2,0,1000,0%
PremiumV2TotalSnapshotSizeInGB,West US 2,0,102400,0%
Gallery,West US 2,0,100,0%
Gallery Image,West US 2,0,1000,0%
Gallery Image Version,West US 2,0,10000,0%
Gallery Application Version,West US 2,0,300,0%
Total Regional vCPUs,West US 3,0,10,0%
Availability Sets,West US 3,0,2500,0%
Virtual Machine Scale Sets,West US 3,0,2500,0%
Dedicated vCPUs,West US 3,0,3000,0%
Cloud Services,West US 3,0,2500,0%
Basic A Family vCPUs,West US 3,0,10,0%
Standard A0-A7 Family vCPUs,West US 3,0,10,0%
Standard A8-A11 Family vCPUs,West US 3,0,10,0%
Standard Av2 Family vCPUs,West US 3,0,10,0%
Standard BS Family vCPUs,West US 3,0,10,0%
Standard Basv2 Family vCPUs,West US 3,0,0,0%
Standard Bsv2 Family vCPUs,West US 3,0,0,0%
Standard Bpsv2 Family vCPUs,West US 3,0,0,0%
Standard D Family vCPUs,West US 3,0,10,0%
Standard Dv2 Family vCPUs,West US 3,0,10,0%
Standard Dv2 Promo Family vCPUs,West US 3,0,10,0%
Standard Ddsv6 Family vCPUs,West US 3,0,10,0%
Standard Dldsv6 Family vCPUs,West US 3,0,10,0%
Standard Dlsv6 Family vCPUs,West US 3,0,10,0%
Standard Dsv6 Family vCPUs,West US 3,0,10,0%
Standard DADSv5 Family vCPUs,West US 3,0,0,0%
standard Dadv6 Family vCPUs,West US 3,0,10,0%
standard Daldv6 Family vCPUs,West US 3,0,10,0%
standard Dalv6 Family vCPUs,West US 3,0,10,0%
Standard DASv4 Family vCPUs,West US 3,0,10,0%
Standard DASv5 Family vCPUs,West US 3,0,0,0%
standard Dav6 Family vCPUs,West US 3,0,10,0%
Standard DAv4 Family vCPUs,West US 3,0,0,0%
Standard DDSv4 Family vCPUs,West US 3,0,10,0%
Standard DDSv5 Family vCPUs,West US 3,0,0,0%
Standard DDv4 Family vCPUs,West US 3,0,10,0%
Standard DDv5 Family vCPUs,West US 3,0,0,0%
Standard DLDSv5 Family vCPUs,West US 3,0,0,0%
Standard DLSv5 Family vCPUs,West US 3,0,0,0%
Standard DPDSv5 Family vCPUs,West US 3,0,0,0%
Standard Dpdsv6 Family vCPUs,West US 3,0,10,0%
Standard DPLDSv5 Family vCPUs,West US 3,0,0,0%
Standard Dpldsv6 Family vCPUs,West US 3,0,10,0%
Standard DPLSv5 Family vCPUs,West US 3,0,0,0%
Standard Dplsv6 Family vCPUs,West US 3,0,10,0%
Standard DPSv5 Family vCPUs,West US 3,0,0,0%
Standard Dpsv6 Family vCPUs,West US 3,0,10,0%
Standard DSv3 Family vCPUs,West US 3,0,10,0%
Standard DSv4 Family vCPUs,West US 3,0,10,0%
Standard DSv5 Family vCPUs,West US 3,0,0,0%
Standard Dv3 Family vCPUs,West US 3,0,10,0%
Standard Dv4 Family vCPUs,West US 3,0,10,0%
Standard Dv5 Family vCPUs,West US 3,0,0,0%
standard DCADCCV5 Family vCPUs,West US 3,0,0,0%
Standard DCADSv5 Family vCPUs,West US 3,0,0,0%
standard DCACCV5 Family vCPUs,West US 3,0,0,0%
Standard DCASv5 Family vCPUs,West US 3,0,0,0%
Standard DDCSv3 Family vCPUs,West US 3,0,0,0%
Standard DCEDV5 Family vCPUs,West US 3,0,0,0%
Standard DCEV5 Family vCPUs,West US 3,0,0,0%
Standard DCSv3 Family vCPUs,West US 3,0,0,0%
Standard DCSv2 Family vCPUs,West US 3,0,8,0%
Standard DCS Family vCPUs,West US 3,0,8,0%
Standard DS Family vCPUs,West US 3,0,10,0%
Standard DSv2 Family vCPUs,West US 3,0,10,0%
Standard DSv2 Promo Family vCPUs,West US 3,0,10,0%
Standard EIDSv5 Family vCPUs,West US 3,0,0,0%
Standard EIDv5 Family vCPUs,West US 3,0,0,0%
Standard EISv5 Family vCPUs,West US 3,0,0,0%
Standard EIv5 Family vCPUs,West US 3,0,0,0%
Standard EIADSv5 Family vCPUs,West US 3,0,0,0%
Standard EIASv5 Family vCPUs,West US 3,0,0,0%
Standard EIBDSv5 Family vCPUs,West US 3,0,0,0%
Standard EIBSv5 Family vCPUs,West US 3,0,0,0%
Standard EADSv5 Family vCPUs,West US 3,0,0,0%
Standard EASv4 Family vCPUs,West US 3,0,10,0%
Standard EASv5 Family vCPUs,West US 3,0,0,0%
Standard EDSv4 Family vCPUs,West US 3,0,10,0%
Standard EDSv5 Family vCPUs,West US 3,0,0,0%
Standard Edsv6 Family vCPUs,West US 3,0,10,0%
Standard ESv3 Family vCPUs,West US 3,0,10,0%
Standard ESv4 Family vCPUs,West US 3,0,0,0%
Standard ESv5 Family vCPUs,West US 3,0,0,0%
Standard Esv6 Family vCPUs,West US 3,0,10,0%
standard Eadv6 Family vCPUs,West US 3,0,10,0%
standard Eav6 Family vCPUs,West US 3,0,10,0%
Standard EAv4 Family vCPUs,West US 3,0,0,0%
Standard EBDSv5 Family vCPUs,West US 3,0,10,0%
Standard EBSv5 Family vCPUs,West US 3,0,10,0%
Standard EDv4 Family vCPUs,West US 3,0,0,0%
Standard EDv5 Family vCPUs,West US 3,0,0,0%
Standard EPDSv5 Family vCPUs,West US 3,0,0,0%
Standard Epdsv6 Family vCPUs,West US 3,0,10,0%
Standard EPSv5 Family vCPUs,West US 3,0,0,0%
Standard Epsv6 Family vCPUs,West US 3,0,10,0%
Standard Ev3 Family vCPUs,West US 3,0,10,0%
Standard Ev4 Family vCPUs,West US 3,0,10,0%
Standard Ev5 Family vCPUs,West US 3,0,0,0%
Standard EISv3 Family vCPUs,West US 3,0,10,0%
Standard EIv3 Family vCPUs,West US 3,0,10,0%
Standard EIDSv4 Family vCPUs,West US 3,0,0,0%
Standard XEISv4 Family vCPUs,West US 3,0,0,0%
Standard EIASv4 Family vCPUs,West US 3,0,0,0%
Standard ECEDV5 Family vCPUs,West US 3,0,0,0%
Standard ECEV5 Family vCPUs,West US 3,0,0,0%
Standard ECIEDV5 Family vCPUs,West US 3,0,0,0%
Standard ECIEV5 Family vCPUs,West US 3,0,0,0%
standard ECADCCV5 Family vCPUs,West US 3,0,0,0%
Standard ECADSv5 Family vCPUs,West US 3,0,0,0%
standard ECACCV5 Family vCPUs,West US 3,0,0,0%
Standard ECASv5 Family vCPUs,West US 3,0,0,0%
Standard ECIADSv5 Family vCPUs,West US 3,0,0,0%
Standard ECIASv5 Family vCPUs,West US 3,0,0,0%
