Filter,Selected Values,,,
Standard F Family vCPUs,West US 3,0,10,0%
Standard Falsv6 Family vCPUs,West US 3,0,10,0%
Standard Famsv6 Family vCPUs,West US 3,0,10,0%
Standard Fasv6 Family vCPUs,West US 3,0,10,0%
Standard FS Family vCPUs,West US 3,0,10,0%
Standard FSv2 Family vCPUs,West US 3,0,10,0%
Standard FXMDVS Family vCPUs,West US 3,0,0,0%
Standard G Family vCPUs,West US 3,0,10,0%
Standard GS Family vCPUs,West US 3,0,10,0%
Standard H Family vCPUs,West US 3,0,8,0%
Standard H Promo Family vCPUs,West US 3,0,8,0%
Standard HBrsv2 Family vCPUs,West US 3,0,0,0%
Standard HBv3 Family vCPUs,West US 3,0,0,0%
Standard HBv4 Family vCPUs,West US 3,0,0,0%
Standard HBS Family vCPUs,West US 3,0,0,0%
Standard HCS Family vCPUs,West US 3,0,0,0%
Standard HX Family vCPUs,West US 3,0,0,0%
InternalNDM Sv 1 Family vCPUs,West US 3,0,10,0%
Standard LASv3 Family vCPUs,West US 3,0,0,0%
Standard LS Family vCPUs,West US 3,0,10,0%
Standard LSv2 Family vCPUs,West US 3,0,10,0%
Standard LSv3 Family vCPUs,West US 3,0,0,0%
Standard MS Family vCPUs,West US 3,0,0,0%
Standard MBDSMediumMemoryv3 Family vCPUs,West US 3,0,10,0%
Standard MBSMediumMemoryv3 Family vCPUs,West US 3,0,10,0%
Standard MDSMediumMemoryv2 Family vCPUs,West US 3,0,0,0%
Standard MSMediumMemoryv2 Family vCPUs,West US 3,0,0,0%
StandardMDS Medium Memoryv3 Family vCPUs,West US 3,0,0,0%
StandardMS Medium Memoryv3 Family vCPUs,West US 3,0,0,0%
Standard MIDSMediumMemoryv2 Family vCPUs,West US 3,0,0,0%
Standard MISMediumMemoryv2 Family vCPUs,West US 3,0,0,0%
Standard MSv2 Family vCPUs,West US 3,0,0,0%
StandardMDS High Memoryv3 Family vCPUs,West US 3,0,0,0%
StandardMS High Memoryv3 Family vCPUs,West US 3,0,0,0%
StandardMIDS High Memoryv3 Family vCPUs,West US 3,0,0,0%
StandardMIS High Memoryv3 Family vCPUs,West US 3,0,0,0%
Standard NC Family vCPUs,West US 3,0,12,0%
Standard NCSv2 Family vCPUs,West US 3,0,0,0%
Standard NCSv3 Family vCPUs,West US 3,0,0,0%
Standard NC Promo Family vCPUs,West US 3,0,12,0%
Standard NCADSA10v4 Family vCPUs,West US 3,0,0,0%
Standard NCASv3_T4 Family vCPUs,West US 3,0,0,0%
Standard NCADS_A100_v4 Family vCPUs,West US 3,0,0,0%
Standard NCadsH100v5 Family vCPUs,West US 3,0,0,0%
Standard NCCads2023 Family vCPUs,West US 3,0,0,0%
Standard NDS Family vCPUs,West US 3,0,0,0%
Standard NDSv2 Family vCPUs,West US 3,0,0,0%
Standard NDSv3 Family vCPUs,West US 3,0,0,0%
Standard NDAMSv4_A100Family vCPUs,West US 3,0,0,0%
Standard NDASv4_A100 Family vCPUs,West US 3,0,0,0%
Standard NDSH100v5 Family vCPUs,West US 3,0,0,0%
StandardNDISRH200V5Family vCPUs,West US 3,0,0,0%
StandardNDI Sv 5MI300X Family vCPUs,West US 3,0,0,0%
Standard NGADSV620v1 Family vCPUs,West US 3,0,0,0%
Standard NPS Family vCPUs,West US 3,0,0,0%
Standard NVADSA10v5 Family vCPUs,West US 3,0,0,0%
Standard NV Family vCPUs,West US 3,0,12,0%
Standard NVadsV710v5 Family vCPUs,West US 3,0,0,0%
Standard NVSv2 Family vCPUs,West US 3,0,0,0%
Standard NVSv3 Family vCPUs,West US 3,0,0,0%
Standard NV Promo Family vCPUs,West US 3,0,12,0%
Standard NVSv4 Family vCPUs,West US 3,0,8,0%
Standard PBS Family vCPUs,West US 3,0,6,0%
Standard Storage Managed Disks,West US 3,0,50000,0%
StandardSSDStorageDisks,West US 3,0,50000,0%
StandardSSDZRSStorageDisks,West US 3,0,50000,0%
PremiumZRSStorageDisks,West US 3,0,50000,0%
UltraSSDStorageDisks,West US 3,0,1000,0%
PremiumV2StorageDisks,West US 3,0,1000,0%
StandardStorageSnapshots,West US 3,0,75000,0%
StandardSSDStorageSnapshots,West US 3,0,75000,0%
PremiumStorageSnapshots,West US 3,0,75000,0%
ZrsStorageSnapshots,West US 3,0,75000,0%
UltraSSDTotalSizeInGB,West US 3,0,102400,0%
PremiumV2TotalDiskSizeInGB,West US 3,0,102400,0%
DiskEncryptionSets,West US 3,0,5000,0%
DiskAccesses,West US 3,0,1000,0%
BackgroundCopyInProgressUltraSSDDisks,West US 3,0,50,0%
BackgroundCopyInProgressPremiumV2Disks,West US 3,0,50,0%
PremiumV2StorageSnapshots,West US 3,0,1000,0%
PremiumV2TotalSnapshotSizeInGB,West US 3,0,102400,0%
Gallery,West US 3,0,100,0%
Gallery Image,West US 3,0,1000,0%
Gallery Image Version,West US 3,0,10000,0%
Gallery Application Version,West US 3,0,300,0%
